,region,level of education,sex,2016,2017,2018,2019,2020
90,12 Skåne county,no information about level of educational attainment,men,1532.7,1579.7,1611.3,1672.4,1719.6
91,12 Skåne county,no information about level of educational attainment,women,821.2,845.4,869.8,895.0,918.0
92,12 Skåne county,post secondary education,men,2986.4,3066.0,3146.2000000000003,3209.5,3302.6
93,12 Skåne county,post secondary education,women,2234.9,2314.4,2370.6,2429.8,2487.3
94,12 Skåne county,primary and lower secondary education,men,1747.1,1770.9,1807.3,1843.8,1870.6
95,12 Skåne county,primary and lower secondary education,women,1189.1,1204.8,1218.9,1232.5,1253.0
98,12 Skåne county,upper secondary education,men,2289.8,2346.1,2405.0,2454.6,2489.8
99,12 Skåne county,upper secondary education,women,1725.4,1767.9,1814.6,1862.5,1896.1000000000001
100,13 Halland county,no information about level of educational attainment,men,1401.1,1429.6,1416.9,1465.7,1438.7
101,13 Halland county,no information about level of educational attainment,women,788.8,868.5,971.0,935.5,884.4
102,13 Halland county,post secondary education,men,3078.5,3152.8999999999996,3246.5,3312.8,3346.5
103,13 Halland county,post secondary education,women,2201.7,2274.4,2350.1,2406.9,2463.6
104,13 Halland county,primary and lower secondary education,men,1978.8,2013.1,2067.7,2105.7,2131.0
105,13 Halland county,primary and lower secondary education,women,1322.3,1347.5,1369.1,1386.0,1405.2
108,13 Halland county,upper secondary education,men,2497.5,2558.6,2617.6,2669.5,2699.7
109,13 Halland county,upper secondary education,women,1813.3999999999999,1866.2,1916.0,1956.4,1985.0
110,14 Västra Götaland county,no information about level of educational attainment,men,1607.7,1642.6000000000001,1631.7,1688.1000000000001,1674.1999999999998
111,14 Västra Götaland county,no information about level of educational attainment,women,783.0,752.8000000000001,788.4,831.8,831.9
112,14 Västra Götaland county,post secondary education,men,3069.3,3129.1,3240.8999999999996,3294.7,3323.9
113,14 Västra Götaland county,post secondary education,women,2315.8,2394.7,2449.0,2512.5,2552.3
114,14 Västra Götaland county,primary and lower secondary education,men,1849.5,1897.3,1949.2,1985.1,1992.6000000000001
115,14 Västra Götaland county,primary and lower secondary education,women,1278.7,1305.1,1330.8,1351.4,1357.9
118,14 Västra Götaland county,upper secondary education,men,2413.8,2480.9,2551.2,2598.7,2601.2
119,14 Västra Götaland county,upper secondary education,women,1818.3,1875.6999999999998,1927.0,1965.2,1980.0
120,17 Värmland county,no information about level of educational attainment,men,1565.4,1471.9,1481.3,1597.3,1447.0
121,17 Värmland county,no information about level of educational attainment,women,1002.6,918.1,941.8,1052.8,928.9
122,17 Värmland county,post secondary education,men,2766.5,2823.3,2900.0,2976.3,2997.2000000000003
123,17 Värmland county,post secondary education,women,2140.5,2206.7,2268.0,2325.0,2362.4
124,17 Värmland county,primary and lower secondary education,men,1792.9,1822.1,1873.8999999999999,1908.7,1889.0
125,17 Värmland county,primary and lower secondary education,women,1224.5,1233.1,1257.1,1273.1,1274.1
128,17 Värmland county,upper secondary education,men,2308.0,2389.2,2456.6,2505.3,2489.4
129,17 Värmland county,upper secondary education,women,1738.8,1787.5,1831.9,1871.9,1883.1
130,18 Örebro county,no information about level of educational attainment,men,1129.0,1123.3,1115.4,1215.3,1187.0
131,18 Örebro county,no information about level of educational attainment,women,562.7,562.7,557.3,653.4,651.4
132,18 Örebro county,post secondary education,men,2789.8,2856.5,2939.0,2991.6,3044.4
133,18 Örebro county,post secondary education,women,2180.9,2245.5,2293.6,2350.7,2395.0
134,18 Örebro county,primary and lower secondary education,men,1721.4,1766.2,1805.1,1830.3,1840.9
135,18 Örebro county,primary and lower secondary education,women,1213.3,1224.0,1246.4,1254.6,1260.6
138,18 Örebro county,upper secondary education,men,2325.7,2399.4,2461.1,2501.4,2511.7
139,18 Örebro county,upper secondary education,women,1753.9,1805.9,1850.2,1884.4,1905.2
140,19 Västmanland county,no information about level of educational attainment,men,1234.7,1211.2,1080.7,1273.6000000000001,1358.2
141,19 Västmanland county,no information about level of educational attainment,women,614.0,580.9,617.4,659.6,671.1
142,19 Västmanland county,post secondary education,men,3014.1,3081.0,3171.3,3213.4,3246.1
143,19 Västmanland county,post secondary education,women,2225.1,2292.1,2349.8,2399.8,2447.5
144,19 Västmanland county,primary and lower secondary education,men,1757.8,1794.9,1836.6,1871.5,1891.1999999999998
145,19 Västmanland county,primary and lower secondary education,women,1185.5,1195.7,1214.2,1227.3,1225.6
148,19 Västmanland county,upper secondary education,men,2366.0,2444.5,2496.6,2546.6,2555.3
149,19 Västmanland county,upper secondary education,women,1758.3,1814.3,1854.1,1888.5,1915.3
150,20 Dalarna county,no information about level of educational attainment,men,1174.5,1099.4,1104.2,1186.2,1248.7
151,20 Dalarna county,no information about level of educational attainment,women,574.9,525.9,580.2,599.8,587.7
152,20 Dalarna county,post secondary education,men,2780.3,2849.8,2916.4,2984.5,3020.3
153,20 Dalarna county,post secondary education,women,2158.7,2221.0,2276.2,2341.1,2386.2
154,20 Dalarna county,primary and lower secondary education,men,1775.9,1814.6,1870.8,1920.3000000000002,1935.1999999999998
155,20 Dalarna county,primary and lower secondary education,women,1235.2,1251.0,1274.6,1293.4,1295.7
158,20 Dalarna county,upper secondary education,men,2311.8,2376.2,2439.1,2489.8,2503.8
159,20 Dalarna county,upper secondary education,women,1767.1,1813.6000000000001,1855.7,1897.8,1926.5
160,21 Gävleborg county,no information about level of educational attainment,men,954.6,968.5,947.6,1074.1,1132.4
161,21 Gävleborg county,no information about level of educational attainment,women,537.7,494.09999999999997,515.1,563.2,608.3
162,21 Gävleborg county,post secondary education,men,2756.1,2844.1,2898.6,2972.9,2998.7
163,21 Gävleborg county,post secondary education,women,2165.0,2249.9,2294.2,2349.4,2386.1
164,21 Gävleborg county,primary and lower secondary education,men,1759.0,1797.8,1861.0,1891.7,1916.9
165,21 Gävleborg county,primary and lower secondary education,women,1199.1,1220.3,1234.8,1243.9,1273.1
168,21 Gävleborg county,upper secondary education,men,2298.2,2365.2,2436.2999999999997,2478.9,2493.0
169,21 Gävleborg county,upper secondary education,women,1735.2,1774.7,1826.4,1861.2,1887.6
170,22 Västernorrland county,no information about level of educational attainment,men,1122.8,1033.2,1071.9,1071.5,1109.6
171,22 Västernorrland county,no information about level of educational attainment,women,613.0,608.4,562.6,605.6,614.4
172,22 Västernorrland county,post secondary education,men,2827.5,2876.5,2950.6,3017.0,3055.5
173,22 Västernorrland county,post secondary education,women,2216.0,2279.0,2335.8,2391.7,2425.1
174,22 Västernorrland county,primary and lower secondary education,men,1768.7,1800.6,1853.6,1894.3,1926.0
175,22 Västernorrland county,primary and lower secondary education,women,1255.7,1275.2,1290.4,1296.3,1325.2
178,22 Västernorrland county,upper secondary education,men,2326.6,2371.2000000000003,2445.5,2485.3,2513.1
179,22 Västernorrland county,upper secondary education,women,1786.2,1832.5,1878.9,1913.2,1942.3
180,23 Jämtland county,no information about level of educational attainment,men,1197.1,1176.2,1127.3,1189.3,1157.0
181,23 Jämtland county,no information about level of educational attainment,women,807.2,771.0,768.1,823.0,758.0
182,23 Jämtland county,post secondary education,men,2595.4,2662.9,2732.1,2785.1,2840.9
183,23 Jämtland county,post secondary education,women,2168.9,2228.7,2284.1,2333.3,2371.3
184,23 Jämtland county,primary and lower secondary education,men,1700.1,1740.2,1800.7,1843.2,1859.6
185,23 Jämtland county,primary and lower secondary education,women,1257.4,1285.3,1321.8,1343.6,1356.1
188,23 Jämtland county,upper secondary education,men,2168.8,2240.6,2313.2,2360.5,2377.6
189,23 Jämtland county,upper secondary education,women,1755.8,1812.8,1855.7,1895.1,1915.7
190,24 Västerbotten county,no information about level of educational attainment,men,1110.5,1010.9000000000001,1028.2,1102.6,1126.1
191,24 Västerbotten county,no information about level of educational attainment,women,773.4,697.8,650.2,705.8,710.2
192,24 Västerbotten county,post secondary education,men,2691.3,2755.2,2813.1,2876.3,2925.4
193,24 Västerbotten county,post secondary education,women,2136.9,2203.0,2260.3,2301.2,2342.5
194,24 Västerbotten county,primary and lower secondary education,men,1799.2,1818.6000000000001,1880.7,1925.3,1948.6
195,24 Västerbotten county,primary and lower secondary education,women,1268.5,1285.8,1307.4,1347.5,1374.3
198,24 Västerbotten county,upper secondary education,men,2331.9,2394.2,2451.6,2509.9,2540.8
199,24 Västerbotten county,upper secondary education,women,1773.8,1816.2,1862.6,1907.0,1921.8999999999999
200,25 Norrbotten county,no information about level of educational attainment,men,1319.6,1182.8,1317.4,1377.8,1336.8
201,25 Norrbotten county,no information about level of educational attainment,women,842.9,704.0,765.9,808.3,801.7
202,25 Norrbotten county,post secondary education,men,2749.6,2801.7,2862.3,2933.2,2993.0
203,25 Norrbotten county,post secondary education,women,2215.0,2273.2,2333.7,2393.4,2432.0
204,25 Norrbotten county,primary and lower secondary education,men,1858.3,1893.9,1947.9,2015.0,2049.6
205,25 Norrbotten county,primary and lower secondary education,women,1345.3,1366.6,1395.8,1430.0,1460.5
208,25 Norrbotten county,upper secondary education,men,2397.6,2461.1,2534.0,2598.1,2634.1
209,25 Norrbotten county,upper secondary education,women,1841.9,1891.0,1944.2,1993.5,2022.2
